item,itemLabel
http://www.wikidata.org/entity/Q116,monarch
http://www.wikidata.org/entity/Q1487,hacker
http://www.wikidata.org/entity/Q11147,Chief Justice of the United States
http://www.wikidata.org/entity/Q11281,troll
http://www.wikidata.org/entity/Q18805,naturalist
http://www.wikidata.org/entity/Q19643,queen regnant
http://www.wikidata.org/entity/Q22855,consumer
http://www.wikidata.org/entity/Q26102,whistleblower
http://www.wikidata.org/entity/Q27349,dentist
http://www.wikidata.org/entity/Q30185,mayor
http://www.wikidata.org/entity/Q32554,cracker
http://www.wikidata.org/entity/Q33231,photographer
http://www.wikidata.org/entity/Q33999,actor
http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q36834,composer
http://www.wikidata.org/entity/Q37226,teacher
http://www.wikidata.org/entity/Q39631,physician
http://www.wikidata.org/entity/Q42178,vice president
http://www.wikidata.org/entity/Q42759,mujahid
http://www.wikidata.org/entity/Q42973,architect
http://www.wikidata.org/entity/Q43845,businessperson
http://www.wikidata.org/entity/Q46961,gangster
http://www.wikidata.org/entity/Q47064,military personnel
http://www.wikidata.org/entity/Q47315,cavalry
http://www.wikidata.org/entity/Q48282,student
http://www.wikidata.org/entity/Q48942,schoolchild
http://www.wikidata.org/entity/Q49640,cabin boy
http://www.wikidata.org/entity/Q55187,hairdresser
http://www.wikidata.org/entity/Q61551,Indiano
http://www.wikidata.org/entity/Q63765,Gokenin
http://www.wikidata.org/entity/Q80687,secretary
http://www.wikidata.org/entity/Q82955,politician
http://www.wikidata.org/entity/Q83307,minister
http://www.wikidata.org/entity/Q107198,barber
http://www.wikidata.org/entity/Q118865,clarinetist
http://www.wikidata.org/entity/Q121998,ambassador
http://www.wikidata.org/entity/Q123795,scientific assistant
http://www.wikidata.org/entity/Q126236,conquistador
http://www.wikidata.org/entity/Q128393,nomad
http://www.wikidata.org/entity/Q129536,lokator
http://www.wikidata.org/entity/Q130857,disc jockey
http://www.wikidata.org/entity/Q131512,farmer
http://www.wikidata.org/entity/Q131767,shogun
http://www.wikidata.org/entity/Q133744,tour operator
http://www.wikidata.org/entity/Q137350,mole
http://www.wikidata.org/entity/Q138858,entertainer
http://www.wikidata.org/entity/Q139648,technology evangelist
http://www.wikidata.org/entity/Q140686,chairperson
http://www.wikidata.org/entity/Q145811,Zamindar
http://www.wikidata.org/entity/Q152355,cobbler
http://www.wikidata.org/entity/Q152478,sponsor
http://www.wikidata.org/entity/Q161850,nude model
http://www.wikidata.org/entity/Q162244,hero
http://www.wikidata.org/entity/Q168827,prophet of Islam
http://www.wikidata.org/entity/Q170305,satrap
http://www.wikidata.org/entity/Q177220,singer
http://www.wikidata.org/entity/Q179294,eunuch
http://www.wikidata.org/entity/Q180186,Buddhist monasticism
http://www.wikidata.org/entity/Q181043,dissident
http://www.wikidata.org/entity/Q182436,librarian
http://www.wikidata.org/entity/Q185196,midwife
http://www.wikidata.org/entity/Q186360,nurse
http://www.wikidata.org/entity/Q189829,hermit
http://www.wikidata.org/entity/Q193279,orphan
http://www.wikidata.org/entity/Q193432,fan
http://www.wikidata.org/entity/Q203658,waste picker
http://www.wikidata.org/entity/Q211236,celebrity
http://www.wikidata.org/entity/Q212418,ronin
http://www.wikidata.org/entity/Q212816,au pair
http://www.wikidata.org/entity/Q212948,partisan
http://www.wikidata.org/entity/Q214917,playwright
http://www.wikidata.org/entity/Q214970,virtuoso
http://www.wikidata.org/entity/Q215793,kapellmeister
http://www.wikidata.org/entity/Q217105,political prisoner
http://www.wikidata.org/entity/Q217123,oracle
http://www.wikidata.org/entity/Q217731,hajduk
http://www.wikidata.org/entity/Q220098,warlord
http://www.wikidata.org/entity/Q221488,pedestrian
http://www.wikidata.org/entity/Q222344,cinematographer
http://www.wikidata.org/entity/Q225907,professional revolutionary
http://www.wikidata.org/entity/Q245068,comedian
http://www.wikidata.org/entity/Q254508,outlaw
http://www.wikidata.org/entity/Q255274,white-collar worker
http://www.wikidata.org/entity/Q268689,"Jack of all trades, master of none"
http://www.wikidata.org/entity/Q270141,polymath
http://www.wikidata.org/entity/Q273283,beggar
http://www.wikidata.org/entity/Q280447,carnival producer
http://www.wikidata.org/entity/Q285759,insurance broker
http://www.wikidata.org/entity/Q286651,logographer
http://www.wikidata.org/entity/Q288463,Playboy Bunny
http://www.wikidata.org/entity/Q315247,university student
http://www.wikidata.org/entity/Q315625,trainee
http://www.wikidata.org/entity/Q319544,secretary
http://www.wikidata.org/entity/Q322170,suffragette
http://www.wikidata.org/entity/Q327055,worker
http://www.wikidata.org/entity/Q331432,fisher
http://www.wikidata.org/entity/Q337084,drag queen
