Label,itemLabelheb,uri,count,equals
abolitionist,תומך בביטול העבדות,http://www.wikidata.org/entity/Q18510179,205,Q18510179
acarologist,אקרולוג,http://www.wikidata.org/entity/Q19798999,542,Q19798999
accordionist,נגן אקורדיון,http://www.wikidata.org/entity/Q1863064,735,Q1863064
activist,פעיל חברתי,http://www.wikidata.org/entity/Q15253558,7802,Q15253558
actor,שחקן,http://www.wikidata.org/entity/Q33999,304050,Q33999
administrator,אדמיניסטרטור,http://www.wikidata.org/entity/Q16532929,610,Q16532929
adventurer,הרפתקן,http://www.wikidata.org/entity/Q2873500,335,Q2873500
advisor,יועץ,http://www.wikidata.org/entity/Q2994387,1038,Q2994387
aerospace engineer,מהנדס אווירונאוטיקה,http://www.wikidata.org/entity/Q10497074,1875,Q10497074
Agent,Q109555060,http://www.wikidata.org/entity/Q109555060,57,Q109555060
agricultural worker,Q19261760,http://www.wikidata.org/entity/Q19261760,57,Q19261760
aikidoka,Q4696968,http://www.wikidata.org/entity/Q4696968,179,Q4696968
Aliyah Bet activist,פעיל ההעפלה,http://www.wikidata.org/entity/Q66771409,130,Q66771409
amateur astronomer,אסטרונום חובב,http://www.wikidata.org/entity/Q11442656,100,Q11442656
amateur photographer,Q21694268,http://www.wikidata.org/entity/Q21694268,201,Q21694268
amateur radio operator,מפעיל תחנת חובבים,http://www.wikidata.org/entity/Q1939892,64,Q1939892
ambassador,שגריר,http://www.wikidata.org/entity/Q121998,783,Q121998
American football coach,Q42331263,http://www.wikidata.org/entity/Q42331263,2294,Q42331263
analytical chemist,Q43668003,http://www.wikidata.org/entity/Q43668003,153,Q43668003
anarchist,אנרכיסט,http://www.wikidata.org/entity/Q12961474,274,Q12961474
anarcho-syndicalist,אנרכו-סינדיקליסט,http://www.wikidata.org/entity/Q24293741,105,Q24293741
anchorite,Q1146843,http://www.wikidata.org/entity/Q1146843,60,Q1146843
Ancient Roman military personnel,איש צבא רומאי,http://www.wikidata.org/entity/Q98103687,1277,Q98103687
Ancient Roman politician,פוליטיקאי רומאי,http://www.wikidata.org/entity/Q97667506,1466,Q97667506
animal rights advocate,פעיל זכויות בעלי חיים,http://www.wikidata.org/entity/Q19509237,176,Q19509237
annelidologist,Q38687772,http://www.wikidata.org/entity/Q38687772,191,Q38687772
anti-vaccine activist,פעיל אנטי-חיסונים,http://www.wikidata.org/entity/Q29887242,171,Q29887242
antifascist,Q88193198,http://www.wikidata.org/entity/Q88193198,55,Q88193198
applied mathematician,Q102038373,http://www.wikidata.org/entity/Q102038373,144,Q102038373
arachnologist,ארכנולוג,http://www.wikidata.org/entity/Q17344952,1652,Q17344952
archaeologist,ארכאולוג,http://www.wikidata.org/entity/Q3621491,18198,Q3621491
architect,אדריכל,http://www.wikidata.org/entity/Q42973,57900,Q42973
aristocrat,אריסטוקרט,http://www.wikidata.org/entity/Q2478141,10623,Q2478141
Armenian freedom fighter,Q27548835,http://www.wikidata.org/entity/Q27548835,90,Q27548835
art collector,אספן אמנות,http://www.wikidata.org/entity/Q10732476,5111,Q10732476
art historian,היסטוריון אמנות,http://www.wikidata.org/entity/Q1792450,20770,Q1792450
artist,אמן,http://www.wikidata.org/entity/Q483501,71662,Q483501
artistic director,מנהל אמנותי,http://www.wikidata.org/entity/Q1797162,419,Q1797162
artistic gymnast,מתעמל מכשירים,http://www.wikidata.org/entity/Q13381572,5991,Q13381572
ashik,אשוג,http://www.wikidata.org/entity/Q7097633,80,Q7097633
assassin,מתנקש,http://www.wikidata.org/entity/Q55983771,189,Q55983771
assistant,עוזר,http://www.wikidata.org/entity/Q23835475,247,Q23835475
athlete,ספורטאי,http://www.wikidata.org/entity/Q2066131,23975,"Q2066131,Q11513337"
Australian rules football coach,Q50214236,http://www.wikidata.org/entity/Q50214236,405,Q50214236
author,מחבר,http://www.wikidata.org/entity/Q482980,55378,Q482980
autobiographer,אוטוביוגרף,http://www.wikidata.org/entity/Q18814623,2889,Q18814623
AV idol,כוכבת פורנו יפנית,http://www.wikidata.org/entity/Q1079215,3618,Q1079215
backing vocalist,זמר רקע,http://www.wikidata.org/entity/Q798487,314,Q798487
bandit,Q16144978,http://www.wikidata.org/entity/Q16144978,59,Q16144978
bandoneonist,נגן בנדונאון,http://www.wikidata.org/entity/Q20791985,343,Q20791985
bandurist,Q4854747,http://www.wikidata.org/entity/Q4854747,50,Q4854747
bandy player,שחקן בנדי,http://www.wikidata.org/entity/Q18702210,1160,Q18702210
bank manager,מנהל בנק,http://www.wikidata.org/entity/Q32947888,337,Q32947888
bank robber,שודד בנקים,http://www.wikidata.org/entity/Q20650518,80,Q20650518
banker,בנקאי,http://www.wikidata.org/entity/Q806798,11272,Q806798
