key,itemLabel,itemLabelheb,uri
Q116,monarch,מונרך,http://www.wikidata.org/entity/Q116
Q1487,hacker,האקר,http://www.wikidata.org/entity/Q1487
Q11147,Chief Justice of the United States,נשיא בית המשפט העליון של ארצות הברית,http://www.wikidata.org/entity/Q11147
Q11281,troll,טרול,http://www.wikidata.org/entity/Q11281
Q18805,naturalist,חוקר טבע,http://www.wikidata.org/entity/Q18805
Q19643,queen regnant,המלכה האם,http://www.wikidata.org/entity/Q19643
Q22855,consumer,צרכן,http://www.wikidata.org/entity/Q22855
Q26102,whistleblower,חושף שחיתות,http://www.wikidata.org/entity/Q26102
Q27349,dentist,רופא שיניים,http://www.wikidata.org/entity/Q27349
Q30185,mayor,ראש עירייה,http://www.wikidata.org/entity/Q30185
Q32554,cracker,Q32554,http://www.wikidata.org/entity/Q32554
Q33231,photographer,צלם,http://www.wikidata.org/entity/Q33231
Q33999,actor,שחקן,http://www.wikidata.org/entity/Q33999
Q34168,trapping,לכידת חיות,http://www.wikidata.org/entity/Q34168
Q36180,writer,סופר,http://www.wikidata.org/entity/Q36180
Q36834,composer,מלחין,http://www.wikidata.org/entity/Q36834
Q37226,teacher,מורה,http://www.wikidata.org/entity/Q37226
Q39631,physician,רופא,http://www.wikidata.org/entity/Q39631
Q42178,vice president,סגן נשיא,http://www.wikidata.org/entity/Q42178
Q42759,mujahid,מוג'אהיד,http://www.wikidata.org/entity/Q42759
Q42973,architect,אדריכל,http://www.wikidata.org/entity/Q42973
Q43845,businessperson,איש עסקים,http://www.wikidata.org/entity/Q43845
Q46961,gangster,גנגסטר,http://www.wikidata.org/entity/Q46961
Q47064,military personnel,איש צבא,http://www.wikidata.org/entity/Q47064
Q47315,cavalry,חיל פרשים,http://www.wikidata.org/entity/Q47315
Q48282,student,תלמיד,http://www.wikidata.org/entity/Q48282
Q48942,schoolchild,תלמיד,http://www.wikidata.org/entity/Q48942
Q49640,cabin boy,נער סיפון,http://www.wikidata.org/entity/Q49640
Q55187,hairdresser,מעצב שיער,http://www.wikidata.org/entity/Q55187
Q61551,Indiano,Q61551,http://www.wikidata.org/entity/Q61551
Q63765,Gokenin,Q63765,http://www.wikidata.org/entity/Q63765
Q80687,secretary,מזכיר,http://www.wikidata.org/entity/Q80687
Q82955,politician,פוליטיקאי,http://www.wikidata.org/entity/Q82955
Q83307,minister,שר,http://www.wikidata.org/entity/Q83307
Q107198,barber,ספר,http://www.wikidata.org/entity/Q107198
Q118865,clarinetist,קלרניתן,http://www.wikidata.org/entity/Q118865
Q121998,ambassador,שגריר,http://www.wikidata.org/entity/Q121998
Q123795,scientific assistant,Q123795,http://www.wikidata.org/entity/Q123795
Q126214,refusenik,מסורב עלייה,http://www.wikidata.org/entity/Q126214
Q126236,conquistador,קונקיסטאדור,http://www.wikidata.org/entity/Q126236
Q129536,lokator,Q129536,http://www.wikidata.org/entity/Q129536
Q130857,disc jockey,די ג'יי,http://www.wikidata.org/entity/Q130857
Q131512,farmer,חקלאי,http://www.wikidata.org/entity/Q131512
Q131767,shogun,שוגון,http://www.wikidata.org/entity/Q131767
Q133744,tour operator,Q133744,http://www.wikidata.org/entity/Q133744
Q137350,mole,חפרפרת,http://www.wikidata.org/entity/Q137350
Q138858,entertainer,בדרן,http://www.wikidata.org/entity/Q138858
Q139648,technology evangelist,Q139648,http://www.wikidata.org/entity/Q139648
Q140686,chairperson,יושב ראש,http://www.wikidata.org/entity/Q140686
Q145811,Zamindar,Q145811,http://www.wikidata.org/entity/Q145811
Q152355,cobbler,סנדלר,http://www.wikidata.org/entity/Q152355
Q152478,sponsor,חסות מסחרית,http://www.wikidata.org/entity/Q152478
Q161850,nude model,דוגמנית עירום,http://www.wikidata.org/entity/Q161850
Q162244,hero,גיבור,http://www.wikidata.org/entity/Q162244
Q168827,prophet of Islam,נביאי האסלאם,http://www.wikidata.org/entity/Q168827
Q170305,satrap,אחשדרפן,http://www.wikidata.org/entity/Q170305
Q177220,singer,זמר,http://www.wikidata.org/entity/Q177220
Q179294,eunuch,סריס,http://www.wikidata.org/entity/Q179294
Q180186,Buddhist monasticism,נזירות בודהיסטית,http://www.wikidata.org/entity/Q180186
Q181043,dissident,דיסידנט,http://www.wikidata.org/entity/Q181043
Q182436,librarian,ספרן,http://www.wikidata.org/entity/Q182436
Q185196,midwife,מיילדת,http://www.wikidata.org/entity/Q185196
Q186360,nurse,אח,http://www.wikidata.org/entity/Q186360
Q189829,hermit,Q189829,http://www.wikidata.org/entity/Q189829
Q193279,orphan,יתמות,http://www.wikidata.org/entity/Q193279
Q193432,fan,אוהד,http://www.wikidata.org/entity/Q193432
Q203658,waste picker,Q203658,http://www.wikidata.org/entity/Q203658
Q211236,celebrity,ידוען,http://www.wikidata.org/entity/Q211236
Q212418,ronin,רונין,http://www.wikidata.org/entity/Q212418
Q212816,au pair,או-פר,http://www.wikidata.org/entity/Q212816
Q212948,partisan,פרטיזן,http://www.wikidata.org/entity/Q212948
Q214917,playwright,מחזאי,http://www.wikidata.org/entity/Q214917
Q214970,virtuoso,וירטואוז,http://www.wikidata.org/entity/Q214970
Q215793,kapellmeister,קאפלמייסטר,http://www.wikidata.org/entity/Q215793
Q217105,political prisoner,אסיר פוליטי,http://www.wikidata.org/entity/Q217105
Q217123,oracle,אורקל,http://www.wikidata.org/entity/Q217123
Q217731,hajduk,היידוק,http://www.wikidata.org/entity/Q217731
Q220098,warlord,מצביא,http://www.wikidata.org/entity/Q220098
Q221488,pedestrian,הולך רגל,http://www.wikidata.org/entity/Q221488
Q222344,cinematographer,צלם קולנוע,http://www.wikidata.org/entity/Q222344
Q225907,professional revolutionary,Q225907,http://www.wikidata.org/entity/Q225907
Q245068,comedian,קומיקאי,http://www.wikidata.org/entity/Q245068
Q254508,outlaw,פורע חוק,http://www.wikidata.org/entity/Q254508
Q255274,white-collar worker,צווארון לבן,http://www.wikidata.org/entity/Q255274
Q268689,"Jack of all trades, master of none",Q268689,http://www.wikidata.org/entity/Q268689
Q270141,polymath,איש אשכולות,http://www.wikidata.org/entity/Q270141
Q273283,beggar,קבצן,http://www.wikidata.org/entity/Q273283
Q280447,carnival producer,Q280447,http://www.wikidata.org/entity/Q280447
Q285759,insurance broker,סוכן ביטוח,http://www.wikidata.org/entity/Q285759
Q286651,logographer,לוגוגרף,http://www.wikidata.org/entity/Q286651
Q288463,Playboy Bunny,שפנפנת פלייבוי,http://www.wikidata.org/entity/Q288463
Q315247,university student,סטודנט,http://www.wikidata.org/entity/Q315247
Q315625,trainee,Q315625,http://www.wikidata.org/entity/Q315625
Q319544,secretary,Q319544,http://www.wikidata.org/entity/Q319544
Q322170,suffragette,סופרג'יסט,http://www.wikidata.org/entity/Q322170
Q327055,worker,פועל,http://www.wikidata.org/entity/Q327055
Q331432,fisher,דייג,http://www.wikidata.org/entity/Q331432
Q337084,drag queen,דמות דראג,http://www.wikidata.org/entity/Q337084
Q338507,dog behaviourist,Q338507,http://www.wikidata.org/entity/Q338507
Q352388,driver,נהג,http://www.wikidata.org/entity/Q352388
Q356139,proofreader,עורך משנה,http://www.wikidata.org/entity/Q356139
Q363802,doctoral advisor,מנחה לדוקטורט,http://www.wikidata.org/entity/Q363802
Q369456,camp follower,Q369456,http://www.wikidata.org/entity/Q369456
Q372646,mental calculator,גאון חישוב,http://www.wikidata.org/entity/Q372646
Q376924,courtesan,קורטיזנה,http://www.wikidata.org/entity/Q376924
Q381136,shareholder,בעל מניות,http://www.wikidata.org/entity/Q381136
Q381160,expert,מומחה,http://www.wikidata.org/entity/Q381160
Q382887,chinovnik,פקיד ציבורי,http://www.wikidata.org/entity/Q382887
Q385586,disciple,Q385586,http://www.wikidata.org/entity/Q385586
Q386854,drummer,מתופף,http://www.wikidata.org/entity/Q386854
Q388338,treasurer,גזבר,http://www.wikidata.org/entity/Q388338
Q388513,Thai boxer,לוחם איגרוף תאילנדי,http://www.wikidata.org/entity/Q388513
Q388618,hospital pharmacy,Q388618,http://www.wikidata.org/entity/Q388618
Q389565,ticket controller,Q389565,http://www.wikidata.org/entity/Q389565
Q392651,intelligence agent,סוכן מודיעין,http://www.wikidata.org/entity/Q392651
Q419722,Overlord,Q419722,http://www.wikidata.org/entity/Q419722
Q437470,personal care assistant,Q437470,http://www.wikidata.org/entity/Q437470
Q455011,shill,Q455011,http://www.wikidata.org/entity/Q455011
Q455595,amateur,חובבן,http://www.wikidata.org/entity/Q455595
Q460797,unofficial collaborator,Q460797,http://www.wikidata.org/entity/Q460797
